lowTemp,snow,IceFog_Snow_Count,weather
12,0,0,Snow without IceFog
13,0,0,Snow without IceFog
15,0,0,Snow without IceFog
12,0,0,Snow without IceFog
10,0,0,Snow without IceFog
7,0,0,Snow without IceFog
9,0,0,Snow without IceFog
10,0,0,Snow without IceFog
8,0,0,Snow without IceFog
8,0,0,Snow without IceFog
8,0,0,Snow without IceFog
8,0,0,Snow without IceFog
7,0,0,Snow without IceFog
7,0,0,Snow without IceFog
7,0,0,Snow without IceFog
9,0,0,Snow without IceFog
10,0,0,Snow without IceFog
9,0,0,Snow without IceFog
8,0,0,Snow without IceFog
7,0,0,Snow without IceFog
8,0,0,Snow without IceFog
7,0,0,Snow without IceFog
6,0,0,Snow without IceFog
5,0,0,Snow without IceFog
8,0,0,Snow without IceFog
12,0,0,Snow without IceFog
16,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
16,0,0,Snow without IceFog
15,0,0,Snow without IceFog
13,0,0,Snow without IceFog
11,0,0,Snow without IceFog
9,0,0,Snow without IceFog
7,0,0,Snow without IceFog
5,0,0,Snow without IceFog
5,0,0,Snow without IceFog
6,0,0,Snow without IceFog
8,0,0,Snow without IceFog
11,0,0,Snow without IceFog
13,0,0,Snow without IceFog
13,0,0,Snow without IceFog
11,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
12,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
15,0,0,Snow without IceFog
16,0,0,Snow without IceFog
15,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
16,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
22,0,0,Snow without IceFog
20,0,0,Snow without IceFog
18,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
16,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
18,0,0,Snow without IceFog
20,0,0,Snow without IceFog
21,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
20,0,0,Snow without IceFog
18,0,0,Snow without IceFog
16,0,0,Snow without IceFog
17,0,0,Snow without IceFog
19,0,0,Snow without IceFog
21,0,0,Snow without IceFog
24,0,0,Snow without IceFog
26,0,0,Snow without IceFog
26,0,0,Snow without IceFog
25,0,0,Snow without IceFog
23,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
23,0,0,Snow without IceFog
24,0,0,Snow without IceFog
24,0,0,Snow without IceFog
23,0,0,Snow without IceFog
23,0,0,Snow without IceFog
23,0,0,Snow without IceFog
23,0,0,Snow without IceFog
24,0,0,Snow without IceFog
23,0,0,Snow without IceFog
22,0,0,Snow without IceFog
20,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
21,0,0,Snow without IceFog
20,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
23,0,0,Snow without IceFog
23,0,0,Snow without IceFog
22,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
23,0,0,Snow without IceFog
24,0,0,Snow without IceFog
23,0,0,Snow without IceFog
21,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
21,0,0,Snow without IceFog
21,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
19,0,0,Snow without IceFog
18,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
19,0,0,Snow without IceFog
22,0,0,Snow without IceFog
23,0,0,Snow without IceFog
24,0,0,Snow without IceFog
24,0,0,Snow without IceFog
22,0,0,Snow without IceFog
19,0,0,Snow without IceFog
16,0,0,Snow without IceFog
17,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
17,0,0,Snow without IceFog
15,0,0,Snow without IceFog
15,0,0,Snow without IceFog
15,0,0,Snow without IceFog
15,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
15,0,0,Snow without IceFog
15,0,0,Snow without IceFog
14,0,0,Snow without IceFog
15,0,0,Snow without IceFog
16,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
18,0,0,Snow without IceFog
17,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
17,0,0,Snow without IceFog
15,0,0,Snow without IceFog
12,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
11,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
12,0,0,Snow without IceFog
10,0,0,Snow without IceFog
11,0,0,Snow without IceFog
11,0,0,Snow without IceFog
11,0,0,Snow without IceFog
10,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
8,0,0,Snow without IceFog
8,0,0,Snow without IceFog
8,0,0,Snow without IceFog
7,0,0,Snow without IceFog
8,0,0,Snow without IceFog
10,0,0,Snow without IceFog
13,0,0,Snow without IceFog
15,0,0,Snow without IceFog
16,0,0,Snow without IceFog
13,0,0,Snow without IceFog
9,0,0,Snow without IceFog
6,0,0,Snow without IceFog
4,0,0,Snow without IceFog
3,0,0,Snow without IceFog
3,0,0,Snow without IceFog
5,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
4,0,0,Snow without IceFog
3,0,0,Snow without IceFog
3,0,0,Snow without IceFog
5,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
7,0,0,Snow without IceFog
8,0,0,Snow without IceFog
9,0,0,Snow without IceFog
10,0,0,Snow without IceFog
9,0,0,Snow without IceFog
7,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
5,0,0,Snow without IceFog
7,0,0,Snow without IceFog
7,0,0,Snow without IceFog
6,0,0,Snow without IceFog
4,0,0,Snow without IceFog
2,0,0,Snow without IceFog
1,0,0,Snow without IceFog
1,0,0,Snow without IceFog
3,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
-1,0,1,IceFog without Snow
-1,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-4,0,0,Snow without IceFog
-3,0,1,IceFog without Snow
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
-2,0,1,IceFog without Snow
-6,0,1,IceFog without Snow
-6,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-4,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-5,1,1,Snow_and_IceFog
-5,1,1,Snow_and_IceFog
-3,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
1,0,0,Snow without IceFog
2,0,0,Snow without IceFog
1,0,0,Snow without IceFog
0,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-4,0,1,IceFog without Snow
-4,0,1,IceFog without Snow
-4,0,0,Snow without IceFog
-4,0,0,Snow without IceFog
-4,1,1,Snow_and_IceFog
-5,1,1,Snow_and_IceFog
-6,0,0,Snow without IceFog
-6,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-3,0,1,IceFog without Snow
-1,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-6,1,1,Snow_and_IceFog
-10,0,0,Snow without IceFog
-12,0,0,Snow without IceFog
-10,0,0,Snow without IceFog
-6,1,1,Snow_and_IceFog
-2,0,1,IceFog without Snow
-1,1,1,Snow_and_IceFog
-1,0,1,IceFog without Snow
-2,0,1,IceFog without Snow
-3,0,0,Snow without IceFog
-4,0,1,IceFog without Snow
-4,0,1,IceFog without Snow
-3,0,0,Snow without IceFog
-4,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
0,0,1,IceFog without Snow
1,0,0,Snow without IceFog
0,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-7,0,0,Snow without IceFog
-7,0,0,Snow without IceFog
-4,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
0,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
0,0,0,Snow without IceFog
4,0,0,Snow without IceFog
3,0,0,Snow without IceFog
-1,0,1,IceFog without Snow
-5,0,0,Snow without IceFog
-6,1,1,Snow_and_IceFog
-6,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
1,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
-4,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
4,0,0,Snow without IceFog
5,0,0,Snow without IceFog
3,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
2,0,0,Snow without IceFog
3,0,0,Snow without IceFog
4,0,0,Snow without IceFog
3,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
3,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
5,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,1,IceFog without Snow
2,0,0,Snow without IceFog
1,0,1,IceFog without Snow
-1,0,1,IceFog without Snow
-2,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
1,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
3,0,0,Snow without IceFog
5,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
5,0,0,Snow without IceFog
5,0,0,Snow without IceFog
7,0,0,Snow without IceFog
8,0,0,Snow without IceFog
7,0,0,Snow without IceFog
7,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
7,0,0,Snow without IceFog
8,0,0,Snow without IceFog
7,0,0,Snow without IceFog
7,0,0,Snow without IceFog
5,0,0,Snow without IceFog
5,0,0,Snow without IceFog
7,0,0,Snow without IceFog
10,0,0,Snow without IceFog
12,0,0,Snow without IceFog
13,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
12,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
9,0,0,Snow without IceFog
8,0,0,Snow without IceFog
10,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
11,0,0,Snow without IceFog
11,0,0,Snow without IceFog
11,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
13,0,0,Snow without IceFog
13,0,0,Snow without IceFog
12,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
13,0,0,Snow without IceFog
14,0,0,Snow without IceFog
12,0,0,Snow without IceFog
12,0,0,Snow without IceFog
14,0,0,Snow without IceFog
16,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
19,0,0,Snow without IceFog
17,0,0,Snow without IceFog
15,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
15,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
21,0,0,Snow without IceFog
18,0,0,Snow without IceFog
16,0,0,Snow without IceFog
15,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
14,0,0,Snow without IceFog
15,0,0,Snow without IceFog
17,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
19,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
20,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
22,0,0,Snow without IceFog
23,0,0,Snow without IceFog
21,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
22,0,0,Snow without IceFog
23,0,0,Snow without IceFog
23,0,0,Snow without IceFog
23,0,0,Snow without IceFog
25,0,0,Snow without IceFog
27,0,0,Snow without IceFog
27,0,0,Snow without IceFog
24,0,0,Snow without IceFog
22,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
21,0,0,Snow without IceFog
20,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
21,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
18,0,0,Snow without IceFog
17,0,0,Snow without IceFog
19,0,0,Snow without IceFog
21,0,0,Snow without IceFog
21,0,0,Snow without IceFog
20,0,0,Snow without IceFog
18,0,0,Snow without IceFog
16,0,0,Snow without IceFog
16,0,0,Snow without IceFog
17,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
21,0,0,Snow without IceFog
20,0,0,Snow without IceFog
18,0,0,Snow without IceFog
16,0,0,Snow without IceFog
17,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
19,0,0,Snow without IceFog
17,0,0,Snow without IceFog
14,0,0,Snow without IceFog
11,0,0,Snow without IceFog
11,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
14,0,0,Snow without IceFog
17,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
20,0,0,Snow without IceFog
18,0,0,Snow without IceFog
16,0,0,Snow without IceFog
13,0,0,Snow without IceFog
11,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
10,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
12,0,0,Snow without IceFog
14,0,0,Snow without IceFog
16,0,0,Snow without IceFog
15,0,0,Snow without IceFog
15,0,0,Snow without IceFog
14,0,0,Snow without IceFog
13,0,0,Snow without IceFog
12,0,0,Snow without IceFog
12,0,0,Snow without IceFog
12,0,0,Snow without IceFog
13,0,0,Snow without IceFog
13,0,0,Snow without IceFog
12,0,0,Snow without IceFog
10,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
7,0,0,Snow without IceFog
5,0,0,Snow without IceFog
2,0,0,Snow without IceFog
1,0,1,IceFog without Snow
1,0,1,IceFog without Snow
3,0,0,Snow without IceFog
5,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
5,0,0,Snow without IceFog
3,0,0,Snow without IceFog
4,0,0,Snow without IceFog
7,0,0,Snow without IceFog
9,0,0,Snow without IceFog
10,0,0,Snow without IceFog
7,0,0,Snow without IceFog
5,0,0,Snow without IceFog
5,0,0,Snow without IceFog
8,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
10,0,0,Snow without IceFog
6,0,0,Snow without IceFog
3,0,0,Snow without IceFog
4,0,0,Snow without IceFog
6,0,0,Snow without IceFog
7,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
6,0,0,Snow without IceFog
8,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
6,0,0,Snow without IceFog
4,0,0,Snow without IceFog
3,0,0,Snow without IceFog
4,0,0,Snow without IceFog
5,0,0,Snow without IceFog
9,0,0,Snow without IceFog
9,0,0,Snow without IceFog
7,0,0,Snow without IceFog
3,0,0,Snow without IceFog
1,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
3,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
0,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
2,0,0,Snow without IceFog
6,0,0,Snow without IceFog
5,0,0,Snow without IceFog
3,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
2,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
-6,0,0,Snow without IceFog
-7,0,0,Snow without IceFog
-3,0,0,Snow without IceFog
2,0,0,Snow without IceFog
3,0,0,Snow without IceFog
2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
2,0,0,Snow without IceFog
1,0,0,Snow without IceFog
0,0,1,IceFog without Snow
-4,0,1,IceFog without Snow
-7,0,0,Snow without IceFog
-5,0,1,IceFog without Snow
-3,0,0,Snow without IceFog
-2,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-5,0,0,Snow without IceFog
-5,1,1,Snow_and_IceFog
-4,0,0,Snow without IceFog
0,0,1,IceFog without Snow
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,1,IceFog without Snow
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
1,0,0,Snow without IceFog
1,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
3,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
1,0,0,Snow without IceFog
1,0,0,Snow without IceFog
0,0,1,IceFog without Snow
0,0,1,IceFog without Snow
0,0,0,Snow without IceFog
-1,0,1,IceFog without Snow
-2,0,1,IceFog without Snow
-2,0,0,Snow without IceFog
1,0,0,Snow without IceFog
2,0,0,Snow without IceFog
3,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
0,0,0,Snow without IceFog
0,0,0,Snow without IceFog
1,0,0,Snow without IceFog
4,0,0,Snow without IceFog
5,0,0,Snow without IceFog
3,0,1,IceFog without Snow
0,0,1,IceFog without Snow
0,0,0,Snow without IceFog
1,0,0,Snow without IceFog
3,0,0,Snow without IceFog
3,0,0,Snow without IceFog
2,0,0,Snow without IceFog
3,0,0,Snow without IceFog
2,0,0,Snow without IceFog
1,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
-1,0,0,Snow without IceFog
3,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
1,0,0,Snow without IceFog
2,0,0,Snow without IceFog
7,0,0,Snow without IceFog
10,0,0,Snow without IceFog
9,0,0,Snow without IceFog
7,0,0,Snow without IceFog
6,0,0,Snow without IceFog
7,0,0,Snow without IceFog
9,0,0,Snow without IceFog
11,0,0,Snow without IceFog
13,0,0,Snow without IceFog
13,0,0,Snow without IceFog
13,0,0,Snow without IceFog
12,0,0,Snow without IceFog
9,0,0,Snow without IceFog
5,0,0,Snow without IceFog
2,0,0,Snow without IceFog
2,0,0,Snow without IceFog
3,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
5,0,0,Snow without IceFog
6,0,0,Snow without IceFog
5,0,0,Snow without IceFog
4,0,0,Snow without IceFog
4,0,0,Snow without IceFog
6,0,0,Snow without IceFog
7,0,0,Snow without IceFog
7,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
7,0,0,Snow without IceFog
10,0,0,Snow without IceFog
14,0,0,Snow without IceFog
16,0,0,Snow without IceFog
14,0,0,Snow without IceFog
11,0,0,Snow without IceFog
9,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
8,0,0,Snow without IceFog
6,0,0,Snow without IceFog
5,0,0,Snow without IceFog
6,0,0,Snow without IceFog
6,0,0,Snow without IceFog
5,0,0,Snow without IceFog
5,0,0,Snow without IceFog
5,0,0,Snow without IceFog
7,0,0,Snow without IceFog
8,0,0,Snow without IceFog
10,0,0,Snow without IceFog
10,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
12,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
12,0,0,Snow without IceFog
11,0,0,Snow without IceFog
10,0,0,Snow without IceFog
12,0,0,Snow without IceFog
15,0,0,Snow without IceFog
16,0,0,Snow without IceFog
16,0,0,Snow without IceFog
14,0,0,Snow without IceFog
13,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
13,0,0,Snow without IceFog
14,0,0,Snow without IceFog
15,0,0,Snow without IceFog
16,0,0,Snow without IceFog
16,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
19,0,0,Snow without IceFog
19,0,0,Snow without IceFog
20,0,0,Snow without IceFog
19,0,0,Snow without IceFog
18,0,0,Snow without IceFog
17,0,0,Snow without IceFog
15,0,0,Snow without IceFog
14,0,0,Snow without IceFog
12,0,0,Snow without IceFog
11,0,0,Snow without IceFog
12,0,0,Snow without IceFog
14,0,0,Snow without IceFog
15,0,0,Snow without IceFog
17,0,0,Snow without IceFog
18,0,0,Snow without IceFog
18,0,0,Snow without IceFog
17,0,0,Snow without IceFog
17,0,0,Snow without IceFog
16,0,0,Snow without IceFog
15,0,0,Snow without IceFog
15,0,0,Snow without IceFog
14,0,0,Snow without IceFog
15,0,0,Snow without IceFog
17,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
20,0,0,Snow without IceFog
18,0,0,Snow without IceFog
16,0,0,Snow without IceFog
15,0,0,Snow without IceFog
17,0,0,Snow without IceFog
18,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
23,0,0,Snow without IceFog
22,0,0,Snow without IceFog
21,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
23,0,0,Snow without IceFog
22,0,0,Snow without IceFog
22,0,0,Snow without IceFog
21,0,0,Snow without IceFog
21,0,0,Snow without IceFog
