date,IceFog,Snow,3HighAve,3LowAve
20100306,0,0,11.833,1.3
20100307,0,0,14.067,2.6
20100308,0,0,15.367,4.833
20100309,0,0,15.367,6.133
20100310,0,0,13.9,6.333
20100311,0,0,10.567,5.4
20100312,0,0,8.533,4.267
20100313,0,0,7.967,4.433
20100314,0,0,8.533,4.8
20100315,0,0,11.667,5.367
20100316,0,0,14.633,5.367
20100317,0,0,18.9,7.033
20100318,0,0,20.567,8.5
20100319,0,0,22.033,10.533
20100320,0,0,21.1,10.733
20100321,0,0,18.333,10.933
20100322,0,0,14.467,9.267
20100323,0,0,13.733,7.767
20100324,0,0,14.667,7.4
20100325,0,0,14.467,5.367
20100326,0,0,11.5,2.8
20100327,0,0,9.067,0.5
20100328,0,0,9.267,3.1
20100329,0,0,10.367,5.367
20100330,0,0,11.867,7.033
20100331,0,0,15,7.033
20100401,0,0,18.333,8.333
20100402,0,0,20.167,8.7
20100403,0,0,21.267,8.5
20100404,0,0,22.567,9.967
20100405,0,0,24.633,12
20100406,0,0,27.6,13.667
20100407,0,0,28.533,15.167
20100408,0,0,26.667,12.6
20100409,0,0,21.133,10.033
20100410,0,0,20.367,7.8
20100411,0,0,20.167,9.267
20100412,0,0,19.033,10.167
20100413,0,0,17.367,8.867
20100414,0,0,18.5,8.5
20100415,0,0,18.7,8.333
20100416,0,0,16.3,8.533
20100417,0,0,13.333,7.067
20100418,0,0,14.433,7.067
20100419,0,0,17.4,7.233
20100420,0,0,19.633,9.267
20100421,0,0,21.3,10.2
20100422,0,0,20.933,9.667
20100423,0,0,20.733,8.367
20100424,0,0,17.033,7.433
20100425,0,0,14.267,8.167
20100426,0,0,12.4,7.233
20100427,0,0,13.133,6.1
20100428,0,0,16.1,5.533
20100429,0,0,19.833,8.3
20100430,0,0,25.2,12.767
20100501,0,0,28.7,16.667
20100502,0,0,29.067,18.7
20100503,0,0,28.333,18.333
20100504,0,0,26.867,16.833
20100505,0,0,26.5,15.367
20100506,0,0,25.033,13.5
20100507,0,0,24.267,11.833
20100508,0,0,19.433,9.067
20100509,0,0,17.2,7.033
20100510,0,0,13.5,5.933
20100511,0,0,12.767,5.933
20100512,0,0,13.867,6.3
20100513,0,0,18.333,8.533
20100514,0,0,22.967,11.5
20100515,0,0,23.9,13.533
20100516,0,0,22.767,13.533
20100517,0,0,20.733,11.667
20100518,0,0,19.267,10.933
20100519,0,0,20.2,10.933
20100520,0,0,24.433,12.967
20100521,0,0,26.267,14.267
20100522,0,0,24.8,14.8
20100523,0,0,22.6,14.633
20100524,0,0,24.1,15.367
20100525,0,0,27.967,16.667
20100526,0,0,29.8,15.733
20100527,0,0,27.567,14.8
20100528,0,0,24.8,14.067
20100529,0,0,25,16.267
20100530,0,0,27.967,18.7
20100531,0,0,29.433,19.633
20100601,0,0,30,19.633
20100602,0,0,30.2,19.233
20100603,0,0,30.767,20.333
20100604,0,0,30.933,22
20100605,0,0,31.3,20.9
20100606,0,0,28.9,18.133
20100607,0,0,26.5,14.8
20100608,0,0,22.6,14.067
20100609,0,0,22.4,14.233
20100610,0,0,21.667,14.233
20100611,0,0,23.7,14.967
20100612,0,0,24.467,16.267
20100613,0,0,25.933,17.4
20100614,0,0,26.3,17.967
20100615,0,0,25.733,17.8
20100616,0,0,24.8,17.967
20100617,0,0,25.733,17.233
20100618,0,0,26.833,17.233
20100619,0,0,29.633,18.367
20100620,0,0,29.833,20.4
20100621,0,0,30.967,21.7
20100622,0,0,30.967,21.7
20100623,0,0,31.867,22.6
20100624,0,0,31.867,22.6
20100625,0,0,31.867,22.6
20100626,0,0,31.7,21.7
20100627,0,0,32.8,22.6
20100628,0,0,33.167,22.4
20100629,0,0,30.933,20.733
20100630,0,0,27.967,18.167
20100701,0,0,26.3,16.5
20100702,0,0,28.167,17.033
20100703,0,0,31.7,19.067
20100704,0,0,34.833,21.833
20100705,0,0,37.4,24.8
20100706,0,0,38.133,26.1
20100707,0,0,36.3,26.3
20100708,0,0,33.9,25.2
20100709,0,0,30.733,23.9
20100710,0,0,31.633,22.8
20100711,0,0,32.367,22.433
20100712,0,0,32.367,22.433
20100713,0,0,29.6,22.8
20100714,0,0,28.333,22.6
20100715,0,0,30.2,22.767
20100716,0,0,32.967,23.3
20100717,0,0,34.233,24.433
20100718,0,0,34.033,24.067
20100719,0,0,33.133,23.7
20100720,0,0,32.967,23.3
20100721,0,0,32.6,23.667
20100722,0,0,32.233,23.5
20100723,0,0,32.967,24.267
20100724,0,0,33.533,23.533
20100725,0,0,33.533,22.6
20100726,0,0,32.433,20.733
20100727,0,0,31.7,21.467
20100728,0,0,32.067,22.567
20100729,0,0,30.933,21.833
20100730,0,0,30.167,20.367
20100731,0,0,28.5,19.633
20100801,0,0,28.5,20.2
20100802,0,0,28.7,21.3
20100803,0,0,30.733,22.233
20100804,0,0,32.6,23.7
20100805,0,0,33.333,23.333
20100806,0,0,32.6,22.033
20100807,0,0,31.5,21.3
20100808,0,0,32.233,22.033
20100809,0,0,33.133,23.9
20100810,0,0,33.867,24.433
20100811,0,0,30.533,23.333
20100812,0,0,28.7,21.467
20100813,0,0,26.667,19.433
20100814,0,0,26.867,19.233
20100815,0,0,27.6,19.433
20100816,0,0,29.267,21.1
20100817,0,0,30.933,22.033
20100818,0,0,31.867,21.833
20100819,0,0,31.667,21.667
20100820,0,0,31.467,20.567
20100821,0,0,29.433,20.767
20100822,0,0,25.733,19.267
20100823,0,0,22.967,18.9
20100824,0,0,20.933,17.967
20100825,0,0,23.167,17.967
20100826,0,0,24.833,17.4
20100827,0,0,27.4,17.033
20100828,0,0,29.6,17.4
20100829,0,0,32,19.433
20100830,0,0,34.433,22
20100831,0,0,34.833,23.667
20100901,0,0,35.2,24.8
20100902,0,0,33.133,24.633
20100903,0,0,30.333,22.433
20100904,0,0,27.4,19.267
20100905,0,0,26.5,16.5
20100906,0,0,28,17.233
20100907,0,0,30.2,18.167
20100908,0,0,28.333,18.333
20100909,0,0,25.533,17.033
20100910,0,0,23.5,15.733
20100911,0,0,22.933,15.367
20100912,0,0,23.5,15
20100913,0,0,22.933,15.2
20100914,0,0,23.867,14.833
20100915,0,0,22.933,14.467
20100916,0,0,22.033,14.267
20100917,0,0,21.667,14.433
20100918,0,0,23.333,15.167
20100919,0,0,23.867,15.167
20100920,0,0,24.6,14.433
20100921,0,0,25.733,15
20100922,0,0,27.033,16.3
20100923,0,0,29.067,18.7
20100924,0,0,29.433,19.233
20100925,0,0,27.767,18.667
20100926,0,0,25.367,17.567
20100927,0,0,22.4,18.133
20100928,0,0,23.533,18.133
20100929,0,0,24.1,19.633
20100930,0,0,24.267,17.6
20101001,0,0,22.033,15.567
20101002,0,0,20,12.033
20101003,0,0,16.5,10.733
20101004,0,0,15.567,10.933
20101005,0,0,15.567,11.667
20101006,0,0,18.533,11.867
20101007,0,0,20.767,12.033
20101008,0,0,22.233,12.033
20101009,0,0,21.867,10.733
20101010,0,0,22.233,11.3
20101011,0,0,21.7,11.3
20101012,0,0,20.767,11.667
20101013,0,0,18.533,10.367
20101014,0,0,16.3,9.433
20101015,0,0,15.167,9.8
20101016,0,0,16.3,9.433
20101017,0,0,16.867,9.633
20101018,0,0,17.067,9.067
20101019,0,0,15.2,8.867
20101020,0,0,15.567,8.667
20101021,0,0,14.467,8.5
20101022,0,0,15.4,7.967
20101023,0,0,16.5,8.733
20101024,0,0,20.367,10.2
20101025,0,0,21.833,13.7
20101026,0,0,23.133,15.9
20101027,0,0,23.133,16.267
20101028,0,0,20.367,13.3
20101029,0,0,17.033,9.067
20101030,0,0,14.067,6.5
20101031,0,0,12.567,4.667
20101101,0,0,11.267,3.533
20101102,0,0,10.533,3.333
20101103,0,0,10.933,5.167
20101104,0,0,11.3,6.833
20101105,0,0,10.767,6.633
20101106,0,0,10.767,4.6
20101107,0,0,9.467,3.667
20101108,0,0,10,3.867
20101109,0,0,10.9,5.733
20101110,0,0,12.933,6.133
20101111,0,0,14.433,6.867
20101112,0,0,15.933,6.867
20101113,0,0,16.867,7.6
20101114,0,0,15.933,8.533
20101115,0,0,15,9.633
20101116,0,0,14.833,10.567
20101117,0,0,14.467,9.633
20101118,0,0,12.433,7.4
20101119,0,0,11.5,5.533
20101120,0,0,10.2,4.433
20101121,0,0,13.333,5.367
20101122,0,0,14.433,7.033
20101123,0,0,14.8,7.4
20101124,0,0,11.3,6.3
20101125,0,0,9.833,4.067
20101126,0,0,8.367,2.767
20101127,0,0,8.533,1.833
20101128,0,0,7.6,1.3
20101129,0,0,10.367,3.167
20101130,0,0,12.8,4.267
20101201,0,0,11.7,4.067
20101202,0,0,8.533,2.033
20101203,0,0,4.8,0.567
20101204,0,0,3.5,-0.2
20101205,0,0,2.6,-0.733
20101206,0,1,1.867,-1.1
20101207,0,0,1.667,-1.7
20101208,0,0,0.7,-3
20101209,0,0,1.1,-4.5
20101210,0,1,3.3,-3.2
20101211,0,0,8.133,0
20101212,0,0,10.167,-0.2
20101213,0,1,5.9,-2.967
20101214,0,1,0.533,-6.7
20101215,0,0,-3,-6.3
20101216,0,0,-0.6,-5.6
20101217,0,0,1.1,-4.1
20101218,0,0,2.4,-2.8
20101219,0,0,2.6,-2.4
20101220,0,0,2.967,-2.4
20101221,0,0,3.133,-2.8
20101222,0,0,2.767,-1.8
20101223,0,0,3.133,-1.7
20101224,0,0,2.033,-2.2
20101225,0,0,1.1,-3.9
20101226,1,1,-1.1,-5.6
20101227,1,1,0,-5.7
20101228,0,0,1.3,-3.9
20101229,0,0,3.5,-2.4
20101230,0,0,4.8,-0.2
20101231,0,0,7.767,1.5
20110101,0,0,10,2.767
20110102,0,0,8.333,1.3
20110103,0,0,5.9,-0.533
20110104,0,0,3.5,-1.7
20110105,0,0,2.967,-2
20110106,0,0,1.7,-3
20110107,0,1,0.2,-4.1
20110108,0,1,0,-4.1
20110109,0,0,0.4,-4.2
20110110,0,0,0.4,-4.2
20110111,1,1,0.167,-4.6
20110112,1,1,-0.8,-5.7
20110113,0,0,-0.9,-6.7
20110114,0,0,0.4,-6.9
20110115,0,0,1.7,-5.4
20110116,0,0,1.1,-5.2
20110117,0,0,1.7,-5
20110118,0,1,2.4,-3.3
20110119,0,0,3.9,-1.3
20110120,0,0,2.233,-2.4
20110121,1,1,-0.9,-6.5
20110122,0,0,-2.933,-10
20110123,0,0,-4.4,-12.2
20110124,0,0,-2,-10.2
20110125,1,1,0,-6.6
20110126,0,1,2.233,-2.4
20110127,1,1,1.667,-1.7
20110128,0,1,1.833,-1.9
20110129,0,1,2.4,-2.2
20110130,0,0,1.8,-3.4
20110131,0,1,0.733,-4.1
20110201,0,1,0.5,-4.1
20110202,0,0,1.1,-3.7
20110203,0,0,1.833,-4.1
20110204,0,0,2.767,-3.3
20110205,0,1,4.8,-0.9
20110206,0,0,6.833,1.5
20110207,0,0,6.467,-0.9
20110208,0,0,3.5,-5
20110209,0,0,0.533,-7.6
20110210,0,0,-0.2,-7.4
20110211,0,0,1.8,-4.6
20110212,0,0,5,-3.5
20110213,0,0,8.867,-0.2
20110214,0,0,8.333,-1.1
20110215,0,0,8.7,-1.467
20110216,0,0,9.633,0.2
20110217,0,0,15.167,4.1
20110218,0,0,16.267,3.5
20110219,0,1,12,-1.1
20110220,0,0,6.467,-5.2
20110221,1,1,3.133,-6.5
20110222,0,0,3.133,-6.5
20110223,0,0,4.433,-5.4
20110224,0,0,8.333,-2
20110225,0,0,8.9,-0.2
20110226,0,0,10,1.3
20110227,0,0,10.567,2.4
20110228,0,0,11.133,2.767
20110301,0,0,11.7,0.4
20110302,0,0,6.7,-3.333
20110303,0,0,5.767,-4.5
20110304,0,0,7.233,-1.5
20110305,0,0,11.1,4.1
20110306,0,0,13.333,5.367
20110307,0,0,10.933,3.1
20110308,0,0,9.267,0.2
20110309,0,0,9.267,0.9
20110310,0,0,10.567,2.933
20110311,0,0,12.6,3.667
20110312,0,0,12.6,4.233
20110313,0,0,10.733,3.7
20110314,0,0,9.067,2.967
20110315,0,0,9.8,2.4
20110316,0,0,13.5,3.7
20110317,0,0,19.067,6.867
20110318,0,0,19.433,6.867
20110319,0,0,16.867,5
20110320,0,0,10.933,2.2
20110321,0,1,9.267,2.567
20110322,0,0,7.2,2.2
20110323,0,1,7.033,1.1
20110324,0,1,5.567,-1.1
20110325,0,0,5.567,-2.2
20110326,0,0,5.733,-2.6
20110327,0,0,6.267,-2.9
20110328,0,0,7.933,-2
20110329,0,0,9.433,-0.6
20110330,0,0,9.067,1.5
20110331,0,0,8.167,2.233
20110401,0,0,8.533,2.6
20110402,0,0,11.3,3.533
20110403,0,0,14.8,5
20110404,0,0,17,5.567
20110405,0,0,16.467,4.8
20110406,0,0,14.433,4.633
20110407,0,0,11.1,4.833
20110408,0,0,11.633,5.2
20110409,0,0,12.367,5.933
20110410,0,0,18.3,7.4
20110411,0,0,20.9,8.333
20110412,0,0,19.8,7.767
20110413,0,0,17.6,7.4
20110414,0,0,14.633,6.667
20110415,0,0,15.567,6.3
20110416,0,0,14.067,6.667
20110417,0,0,15.367,7.767
20110418,0,0,15,8.867
20110419,0,0,15.733,7.933
20110420,0,0,15.733,7.2
20110421,0,0,15.367,5.9
20110422,0,0,14.633,5.533
20110423,0,0,17.8,7.567
20110424,0,0,22.233,10.533
20110425,0,0,26.3,12.567
20110426,0,0,25.367,13.867
20110427,0,0,24.8,14.8
20110428,0,0,22.233,14.8
20110429,0,0,20.733,12.767
20110430,0,0,20.2,10.733
20110501,0,0,19.067,10
20110502,0,0,20.567,10.933
20110503,0,0,19.633,10.2
20110504,0,0,20,9.467
20110505,0,0,19.433,8.533
20110506,0,0,20.9,10.2
20110507,0,0,22.567,11.3
20110508,0,0,22.4,12.033
20110509,0,0,22.967,11.667
20110510,0,0,22.433,11.667
20110511,0,0,22.967,11.3
20110512,0,0,21.467,11.1
20110513,0,0,20.167,12.033
20110514,0,0,19.267,13.133
20110515,0,0,18.367,13.333
20110516,0,0,17.633,12.4
20110517,0,0,17.233,11.667
20110518,0,0,19.633,12.967
20110519,0,0,20.367,13.9
20110520,0,0,22.433,14.1
20110521,0,0,19.267,12.967
20110522,0,0,19.8,12.6
20110523,0,0,20.333,14.633
20110524,0,0,25.167,16.667
20110525,0,0,27.233,18.333
20110526,0,0,27.6,18.133
20110527,0,0,27.6,18.5
20110528,0,0,28.333,19.033
20110529,0,0,28.9,19.967
20110530,0,0,29.833,20.367
20110531,0,0,31.3,20.767
20110601,0,0,30.2,19.3
20110602,0,0,27.767,17.067
20110603,0,0,25,15.2
20110604,0,0,23.133,14.067
20110605,0,0,24.067,14.633
20110606,0,0,26.3,15.933
20110607,0,0,30.733,19.1
20110608,0,0,33.333,20.767
20110609,0,0,33.333,21.5
20110610,0,0,29.267,18.9
20110611,0,0,25.367,16.833
20110612,0,0,22.767,15
20110613,0,0,22.767,14.8
20110614,0,0,24.433,14.433
20110615,0,0,26.467,14.8
20110616,0,0,27.2,15.933
20110617,0,0,27.2,17.433
20110618,0,0,27,18.733
20110619,0,0,27.933,19.267
20110620,0,0,27.767,20.367
20110621,0,0,27.233,20.733
20110622,0,0,25.4,20.567
20110623,0,0,23.167,19.633
20110624,0,0,23.167,18.333
20110625,0,0,24.633,18.333
20110626,0,0,26.867,18.533
20110627,0,0,27.4,20
20110628,0,0,27.967,20.567
20110629,0,0,27.967,20.367
20110630,0,0,27.967,18.7
20110701,0,0,28.7,18.5
20110702,0,0,27.2,19.267
20110703,0,0,27.767,20.567
20110704,0,0,27.967,20.933
20110705,0,0,30.767,21.667
20110706,0,0,31.867,22.4
20110707,0,0,31.467,22.033
20110708,0,0,31.267,20.9
20110709,0,0,30.167,19.8
20110710,0,0,31.3,20.9
20110711,0,0,32.233,22.967
20110712,0,0,32.233,23.167
20110713,0,0,30.933,21.333
20110714,0,0,29.833,19.1
20110715,0,0,30.567,19.267
20110716,0,0,31.867,20.733
20110717,0,0,33.333,22.4
20110718,0,0,34.067,23.333
20110719,0,0,33.7,23.9
20110720,0,0,34.067,23.9
20110721,0,0,35.933,25.567
20110722,0,0,37.967,27.033
20110723,0,0,36.867,27.6
20110724,0,0,32.433,24.633
20110725,0,0,30.567,22.067
20110726,0,0,29.267,20.2
20110727,0,0,30.567,20.767
20110728,0,0,29.467,21.133
20110729,0,0,30.767,22.233
20110730,0,0,31.5,22.233
20110731,0,0,33.333,22.233
20110801,0,0,33.333,22.067
20110802,0,0,32.767,21.3
20110803,0,0,30.933,20.533
20110804,0,0,30,19.967
20110805,0,0,29.433,20.9
20110806,0,0,30.367,22.033
20110807,0,0,31.1,22.767
20110808,0,0,30.733,22.6
20110809,0,0,30.167,22.033
20110810,0,0,28.7,21.133
20110811,0,0,28.9,19.833
20110812,0,0,28.7,19.667
20110813,0,0,26.833,19.267
20110814,0,0,25.533,20
20110815,0,0,24.267,19.233
20110816,0,0,26.867,19.067
20110817,0,0,27.967,18.867
20110818,0,0,29.067,18.867
20110819,0,0,28.867,18.5
20110820,0,0,29.067,19.067
20110821,0,0,27.767,19.067
20110822,0,0,26.667,18.5
20110823,0,0,25.933,17.933
20110824,0,0,26.133,19.233
20110825,0,0,26.867,21.1
20110826,0,0,26.5,21.867
20110827,0,0,25.933,20.567
20110828,0,0,24.833,18.333
20110829,0,0,25.567,16.467
20110830,0,0,27.4,16.1
20110831,0,0,28.5,17.4
20110901,0,0,27.767,18.133
20110902,0,0,27.4,18.7
20110903,0,0,27.967,19.8
20110904,0,0,28.5,21.1
20110905,0,0,27.033,20
20110906,0,0,23.7,18.167
20110907,0,0,23.333,16.5
20110908,0,0,25,17.767
20110909,0,0,27.233,18.867
20110910,0,0,25.767,19.067
20110911,0,0,25.033,18.9
20110912,0,0,25.4,18.7
20110913,0,0,27.967,19.8
20110914,0,0,27.2,17.4
20110915,0,0,24.033,14.467
20110916,0,0,20.333,11.333
20110917,0,0,18.867,11.333
20110918,0,0,19.433,11.5
20110919,0,0,20,12.967
20110920,0,0,20.933,14.8
20110921,0,0,23.167,17.767
20110922,0,0,24.1,19.267
20110923,0,0,24.633,20.567
20110924,0,0,24.633,20.933
20110925,0,0,25.933,20.733
20110926,0,0,26.133,20.567
20110927,0,0,25,20.2
20110928,0,0,23.7,18.9
20110929,0,0,23.5,16.833
20110930,0,0,22.2,13.5
20111001,0,0,20.533,11.467
20111002,0,0,17.2,9.633
20111003,0,0,16.467,9.433
20111004,0,0,17.767,10
20111005,0,0,19.433,9.8
20111006,0,0,20,9.633
20111007,0,0,21.1,9.8
20111008,0,0,24.267,12.233
20111009,0,0,27.033,14.633
20111010,0,0,26.3,16.133
20111011,0,0,22.4,15.733
20111012,0,0,19.633,15.167
20111013,0,0,19.067,14.233
20111014,0,0,19.433,13.5
20111015,0,0,19.433,12.767
20111016,0,0,18.5,12.767
20111017,0,0,19.067,12.767
20111018,0,0,18.333,13.9
20111019,0,0,18.7,13.333
20111020,0,0,16.467,12.6
20111021,0,0,16.1,10.167
20111022,0,0,14.633,9.433
20111023,0,0,15.567,9.433
20111024,0,0,15.933,10
20111025,0,0,16.5,10.2
20111026,0,0,16.5,7.967
20111027,0,0,14.067,5.367
20111028,0,0,10.9,2.033
20111029,0,1,8.133,1.133
20111030,0,1,8.9,1.333
20111031,0,0,10.767,3.533
20111101,0,0,12.8,5.2
20111102,0,0,13.9,6.867
20111103,0,0,13.533,6.133
20111104,0,0,12.033,5
20111105,0,0,11.1,3.5
20111106,0,0,12.767,4.233
20111107,0,0,16.3,7.4
20111108,0,0,18.333,9.833
20111109,0,0,19.233,10.2
20111110,0,0,15.533,7.967
20111111,0,0,14.067,5.733
20111112,0,0,12.967,5.733
20111113,0,0,16.867,8.133
20111114,0,0,18.333,11.633
20111115,0,0,17.967,12.767
20111116,0,0,15,10.167
20111117,0,0,11.5,6.1
20111118,0,0,10.033,3.3
20111119,0,0,12.233,4.967
20111120,0,0,14.633,6.833
20111121,0,0,14.433,7.767
20111122,0,0,12.233,5.933
20111123,0,0,11.3,4.267
20111124,0,0,13.333,4.833
20111125,0,0,15.533,6.867
20111126,0,0,17.2,8.7
20111127,0,0,18.867,10.533
20111128,0,0,19.067,10.733
20111129,0,0,17.033,10
20111130,0,0,13.333,6.5
20111201,0,0,10.733,4.267
20111202,0,0,9.8,3.167
20111203,0,0,10.733,4.1
20111204,0,0,12.033,5.567
20111205,0,0,14.833,9.067
20111206,0,0,16.133,9.067
20111207,0,0,13.533,7.033
20111208,0,0,11.667,3.333
20111209,0,0,8.7,1.467
20111210,0,0,7.6,0.2
20111211,0,0,6.133,-0.4
20111212,0,0,6.3,-0.4
20111213,0,0,8.333,0.933
20111214,0,0,11.1,3.5
20111215,0,0,13.333,5.167
20111216,0,0,11.867,4.2
20111217,0,0,6.7,-0.4
20111218,0,0,4.4,-2.8
20111219,0,0,5.5,-0.9
20111220,0,0,11.3,2.8
20111221,0,0,13.333,6.5
20111222,0,0,13.5,5.4
20111223,0,0,8.667,3
20111224,0,0,6.467,-0.2
20111225,0,0,5.733,0.3
20111226,0,0,9.633,2
20111227,0,0,10.367,2
20111228,0,0,9.067,-0.567
20111229,0,0,7.967,-0.7
20111230,0,0,8.7,2.1
20111231,0,0,11.3,5.2
20120101,0,0,11.1,4.467
20120102,0,0,7.233,-1.3
20120103,0,0,2.6,-6.467
20120104,0,0,0.7,-7.6
20120105,0,0,4.4,-3.9
20120106,0,0,10.933,2.2
20120107,0,0,12.067,3.367
20120108,0,0,9.833,2.6
20120109,0,0,7.033,0.2
20120110,0,0,7.4,0.9
20120111,0,0,8.133,2.8
20120112,0,0,8.7,1.9
20120113,0,1,5.733,0
20120114,0,1,2.4,-4.8
20120115,0,0,0,-7.2
20120116,0,1,3.9,-5.5
20120117,0,0,8.9,-3.9
20120118,0,0,8.9,-2.967
20120119,0,0,5.733,-5.2
20120120,0,0,1.1,-5.6
20120121,1,1,0.5,-5.9
20120122,0,0,3.7,-4.1
20120123,0,1,8.167,-0.4
20120124,0,0,10.033,2.967
20120125,0,0,7.6,2.8
20120126,0,1,8.7,2.4
20120127,0,0,9.067,2.767
20120128,0,0,9.833,2.933
20120129,0,0,6.3,1.833
20120130,0,0,8.7,1.833
20120131,0,0,12.033,4.433
20120201,0,0,13.9,4.633
20120202,0,0,11.133,3.2
20120203,0,0,8.167,0.8
20120204,0,0,6.3,0.2
20120205,0,0,7.6,0.767
20120206,0,0,8.133,1.3
20120207,0,0,7.767,1.1
20120208,0,1,6.833,0.7
20120209,0,1,6.1,0
20120210,0,0,6.1,0.2
20120211,0,1,3.5,-1.9
20120212,0,1,3.333,-2.967
20120213,0,0,5,-2.2
20120214,0,0,7.6,1.3
20120215,0,0,7.6,2.767
20120216,0,0,8.167,3.7
20120217,0,0,8.533,2.967
20120218,0,0,8.533,2.8
20120219,0,0,7.8,0.9
20120220,0,0,7.433,0.4
20120221,0,0,9.833,1.8
20120222,0,0,12.033,4.633
20120223,0,0,12.033,5.367
20120224,0,1,9.8,3.533
20120225,0,1,7.4,0.4
20120226,0,0,9.8,0.4
20120227,0,0,10.733,1.6
20120228,0,0,10.2,3.3
20120229,0,0,6.867,3.5
20120301,0,0,5.4,2.233
20120302,0,0,7.967,3
20120303,0,0,8.7,2.8
20120304,0,0,9.067,1.9
20120305,0,0,6.867,-1.3
20120306,0,0,10.033,-1.1
20120307,0,0,15.033,3.5
20120308,0,0,18.733,5.767
20120309,0,0,15.2,4.3
20120310,0,0,13.333,1.1
20120311,0,0,14.633,2.9
20120312,0,0,20.367,7.567
20120313,0,0,22.033,10.167
20120314,0,0,18.5,9.433
20120315,0,0,14.267,7.4
20120316,0,0,12.8,6.467
20120317,0,0,15.033,7.033
20120318,0,0,19.267,9.267
20120319,0,0,21.3,11.133
20120320,0,0,21.833,13.167
20120321,0,0,22.6,13.333
20120322,0,0,23.133,13.867
20120323,0,0,22.767,12
20120324,0,0,17.933,9.967
20120325,0,0,13.867,5.533
20120326,0,0,11.3,2.4
20120327,0,0,14.067,2.2
20120328,0,0,15.367,3.9
20120329,0,0,16.467,5.733
20120330,0,0,12.033,4.6
20120331,0,0,10.367,4.433
20120401,0,0,10.367,4.433
20120402,0,0,14.267,4.8
20120403,0,0,17.233,5.7
20120404,0,0,17.4,6.1
20120405,0,0,16.467,5.733
20120406,0,0,15.167,4.433
20120407,0,0,16.833,4.8
20120408,0,0,17.767,6.833
20120409,0,0,17.6,7.767
20120410,0,0,15.033,7.567
20120411,0,0,14.467,6.467
20120412,0,0,15.367,6.1
20120413,0,0,18.867,7.4
20120414,0,0,21.833,10.167
20120415,0,0,26.1,14.233
20120416,0,0,27.233,16.267
20120417,0,0,24.467,14.6
20120418,0,0,21.133,11.267
20120419,0,0,19.833,9.967
20120420,0,0,21.5,10.9
20120421,0,0,18.533,10.733
20120422,0,0,15.367,8.533
20120423,0,0,13.133,6.133
20120424,0,0,14.633,5.567
20120425,0,0,15.933,6.1
20120426,0,0,15.367,6.1
20120427,0,0,15,5.167
20120428,0,0,15.367,5
20120429,0,0,16.5,5.367
20120430,0,0,17.967,7.8
20120501,0,0,16.133,8.9
20120502,0,0,15.367,10.2
20120503,0,0,16.3,10.733
20120504,0,0,18.133,11.833
20120505,0,0,19.433,12.4
20120506,0,0,17.933,12.033
20120507,0,0,18.5,11.867
20120508,0,0,19.267,12.6
20120509,0,0,19.1,12.6
20120510,0,0,19.467,11.467
20120511,0,0,21.133,10.733
20120512,0,0,24.267,12.767
20120513,0,0,24.633,15.367
20120514,0,0,22.2,16.833
20120515,0,0,21.667,16.467
20120516,0,0,22.033,14.633
20120517,0,0,23.333,13.333
20120518,0,0,23.7,11.867
20120519,0,0,24.833,12.6
20120520,0,0,23,13.167
20120521,0,0,21.133,14.467
20120522,0,0,20.567,15.767
